# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
(other),"1,839,992",1.39,9.05%,55.45%,00:03:07,3.09
مرسيدس,"111,528",9.14,26.22%,6.51%,00:11:57,8.19
bmw,"106,672",8.60,27.99%,6.22%,00:11:53,8.54
لانسر,"62,135",7.31,22.25%,8.51%,00:10:06,8.12
جولف,"61,274",7.06,22.43%,8.28%,00:10:17,8.40
جيب,"57,498",7.91,25.13%,7.50%,00:11:45,7.80
تويوتا,"50,679",8.37,23.68%,8.34%,00:09:48,6.27
كامري,"50,089",6.99,22.44%,8.47%,00:09:33,7.18
كيا,"46,062",7.86,20.32%,9.17%,00:09:09,6.43
هونداي,"42,246",8.31,21.39%,8.61%,00:09:36,6.61
اكسنت,"41,547",7.07,20.42%,9.19%,00:09:29,8.04
بريوس,"38,297",7.32,24.44%,6.47%,00:11:37,8.62
اقساط,"37,964",9.67,26.39%,5.34%,00:12:31,10.55
بيجو,"37,819",6.48,18.50%,11.04%,00:08:43,6.74
اوبل,"37,221",6.91,20.17%,10.19%,00:09:27,7.42
بكب,"37,091",7.31,25.95%,8.41%,00:09:33,7.20
نيسان,"36,541",7.03,18.64%,10.44%,00:08:51,6.30
افانتي,"34,696",7.99,21.37%,8.15%,00:10:11,8.05
سوناتا,"33,866",6.68,19.27%,9.65%,00:09:47,7.36
بي ام,"31,809",7.88,21.17%,8.58%,00:10:01,7.54
باص,"31,576",8.62,26.21%,6.10%,00:12:30,9.92
هوندا,"30,824",7.04,21.39%,9.49%,00:08:30,6.58
سيارات,"30,376",8.25,25.67%,6.42%,00:09:34,7.87
قولف,"29,564",7.73,21.31%,7.98%,00:11:19,8.99
بوز نمر,"28,351",6.28,18.67%,9.51%,00:09:03,7.93
فورد,"27,663",6.76,18.96%,10.31%,00:08:41,6.50
دايو,"26,036",7.01,19.63%,9.15%,00:10:45,8.90
النترا,"24,113",6.05,18.62%,11.35%,00:08:31,6.66
مازدا,"22,996",6.00,19.10%,11.42%,00:08:51,6.70
BMW,"22,589",8.53,28.06%,6.11%,00:11:50,8.29
رينو,"22,365",5.11,17.72%,13.97%,00:08:18,6.48
توسان,"21,977",5.57,18.96%,11.05%,00:09:25,7.54
وطواط,"21,226",5.37,18.07%,11.94%,00:08:00,6.93
سائق,"21,223",5.00,24.93%,8.55%,00:08:50,8.72
هونداي اكسنت,"20,564",7.98,20.61%,8.17%,00:09:56,7.99
كيا سيفيا,"20,265",7.64,20.12%,8.32%,00:10:23,8.73
شقة,"20,187",8.48,29.48%,4.77%,00:12:47,10.05
كورولا,"20,063",5.31,18.41%,13.09%,00:07:15,5.61
موطو,"19,753",8.43,28.84%,5.42%,00:13:33,9.62
نيسان صني,"19,485",7.48,19.63%,9.05%,00:10:02,7.86
باجيرو,"19,351",5.46,20.99%,11.47%,00:07:49,6.36
كيا ريو,"18,902",6.22,18.74%,10.89%,00:09:14,7.95
متسوبيشي,"18,478",7.77,19.36%,8.97%,00:09:22,7.79
مرسيدس لف,"18,042",7.77,21.80%,6.97%,00:11:56,10.65
فيرنا,"17,769",5.50,17.29%,12.14%,00:09:00,7.95
بكم,"17,271",5.66,18.83%,13.65%,00:07:13,5.53
ايفون,"17,103",5.94,25.22%,8.59%,00:09:58,7.65
كيا سيراتو,"16,970",6.51,20.29%,10.12%,00:09:03,6.89
اوبل فكترا,"16,807",7.54,21.13%,8.46%,00:10:29,7.75
بيكانتو,"16,723",5.51,18.11%,12.06%,00:08:09,6.92
